regione,giorno,percentuale_vaccinati
Abruzzo,1 JUNE,0.6375235750698693
Basilicata,1 JUNE,0.6240925966846793
Calabria,1 JUNE,0.5797511673682237
Campania,1 JUNE,0.6075516584418459
Emilia-Romagna,1 JUNE,0.6109384915113971
Friuli-Venezia Giulia,1 JUNE,0.6342190593057953
Lazio,1 JUNE,0.6104720392057329
Liguria,1 JUNE,0.6532803905140068
Lombardia,1 JUNE,0.6258462934454045
Marche,1 JUNE,0.6230952853525296
Molise,1 JUNE,0.6674051668032386
Piemonte,1 JUNE,0.6097444310015188
Provincia Autonoma Bolzano / Bozen,1 JUNE,0.6140224651733603
Provincia Autonoma Trento,1 JUNE,0.5640877841926039
Puglia,1 JUNE,0.6220486176100369
Sardegna,1 JUNE,0.5833509049101346
Sicilia,1 JUNE,0.5518439224636202
Toscana,1 JUNE,0.6019289960862332
Umbria,1 JUNE,0.625551292292717
Valle d'Aosta / Vallée d'Aoste,1 JUNE,0.6188304612776948
Veneto,1 JUNE,0.5966563715300283
